scenario,system,phase,version,metric,value
big-binary,cavs-fixed-1m,breakdown,5,export_record_kb,79
big-binary,cavs-fixed-1m,logical,5,latest_version_kb,106496
compressible,cavs-fixed-1m,push,1,time_s,2.42
compressible,cavs-fixed-1m,push,1,remote_kb,37085
compressible,cavs-fixed-1m,push,1,remote_growth_kb,37085
compressible,cavs-fixed-1m,update,1,time_s,3.90
compressible,cavs-fixed-1m,update,1,dl_total_kb,65536
compressible,cavs-fixed-1m,push,2,time_s,2.42
compressible,cavs-fixed-1m,push,2,remote_kb,62582
compressible,cavs-fixed-1m,push,2,remote_growth_kb,25497
compressible,cavs-fixed-1m,update,2,time_s,2.70
compressible,cavs-fixed-1m,update,2,dl_total_kb,110592
compressible,cavs-fixed-1m,push,3,time_s,2.36
compressible,cavs-fixed-1m,push,3,remote_kb,90970
compressible,cavs-fixed-1m,push,3,remote_growth_kb,28388
compressible,cavs-fixed-1m,update,3,time_s,1.96
compressible,cavs-fixed-1m,update,3,dl_total_kb,160768
compressible,cavs-fixed-1m,push,4,time_s,1.64
compressible,cavs-fixed-1m,push,4,remote_kb,117046
compressible,cavs-fixed-1m,push,4,remote_growth_kb,26076
compressible,cavs-fixed-1m,update,4,time_s,3.45
compressible,cavs-fixed-1m,update,4,dl_total_kb,206848
compressible,cavs-fixed-1m,clone_cold,4,time_s,2.59
compressible,cavs-fixed-1m,clone_cold,4,dl_total_kb,65536
compressible,cavs-fixed-1m,verify,4,sha256_ok,1
compressible,cavs-fixed-1m,clone_warm,4,time_s,2.27
compressible,cavs-fixed-1m,clone_warm,4,dl_new_kb,0
compressible,cavs-fixed-1m,storage,4,store_kb,58479
compressible,cavs-fixed-1m,storage,4,export_kb,58540
compressible,cavs-fixed-1m,breakdown,4,store_pack_data_kb,58347
compressible,cavs-fixed-1m,breakdown,4,store_pack_index_kb,10
compressible,cavs-fixed-1m,breakdown,4,store_meta_kb,121
compressible,cavs-fixed-1m,breakdown,4,export_pack_kb,58347
compressible,cavs-fixed-1m,breakdown,4,export_index_kb,10
compressible,cavs-fixed-1m,breakdown,4,export_manifest_kb,55
compressible,cavs-fixed-1m,breakdown,4,export_chunkmap_kb,84
compressible,cavs-fixed-1m,breakdown,4,export_record_kb,41
compressible,cavs-fixed-1m,logical,4,latest_version_kb,65536
many-files,cavs-fixed-1m,push,1,time_s,4.74
many-files,cavs-fixed-1m,push,1,remote_kb,178367
many-files,cavs-fixed-1m,push,1,remote_growth_kb,178367
many-files,cavs-fixed-1m,update,1,time_s,3.77
many-files,cavs-fixed-1m,update,1,dl_total_kb,88516
many-files,cavs-fixed-1m,push,2,time_s,2.11
many-files,cavs-fixed-1m,push,2,remote_kb,200896
many-files,cavs-fixed-1m,push,2,remote_growth_kb,22529
many-files,cavs-fixed-1m,update,2,time_s,3.04
many-files,cavs-fixed-1m,update,2,dl_total_kb,99712
many-files,cavs-fixed-1m,push,3,time_s,2.22
many-files,cavs-fixed-1m,push,3,remote_kb,217149
many-files,cavs-fixed-1m,push,3,remote_growth_kb,16253
many-files,cavs-fixed-1m,update,3,time_s,3.36
many-files,cavs-fixed-1m,update,3,dl_total_kb,107771
many-files,cavs-fixed-1m,push,4,time_s,2.29
many-files,cavs-fixed-1m,push,4,remote_kb,229352
many-files,cavs-fixed-1m,push,4,remote_growth_kb,12203
many-files,cavs-fixed-1m,update,4,time_s,2.99
many-files,cavs-fixed-1m,update,4,dl_total_kb,113807
